Ward ID,Sub County ID,Ward Name
1196,196,Malakisi
1239,4432,Malanga
1458,174,Malaral
1262,207,Malava Town
1149,194,Maliki
992,72,Malili
1089,192,Malinda
534,33,Malindi
1271,208,Malinya
845,214,Malka Mari
1363,120,Mamboleo
882,33,Mambrui
852,99,Mandera Township
1160,195,Mandizini
604,131,Manga
1137,193,Mangana
798,4393,Manyani
953,50,Manyatta
1254,204,Manyulia
1471,170,Maraba
928,4413,Marafa
736,19,Maragwa
1131,193,Maraka
1096,192,Marakaru
1411,132,Marani
884,33,Marereni
926,34,Mariakani
1495,143,Marigat
1557,85,Marima
1085,89,Marimanti
1527,158,Marmanet
1097,192,Marobo
1185,195,Marrel
562,74,Marsabit
787,29,Marua
590,117,Masaba
871,96,Masalani
1383,4449,Maseno
1159,195,Mashambani
1567,151,Mashuru
1423,117,Masimba
980,60,Masinga
1453,130,Matemaiywa
1263,207,Matete
1284,4443,Matete
808,4389,Mathaithi
640,4376,Mathare
979,4417,Mathuki
994,70,Matiliku
1005,4421,Matinyani
1142,193,Matisi
934,32,Matsangoni
539,38,Matuga
1135,193,Matulo
1633,4480,Matumbei
1250,203,Matungu
1282,4440,Matungu 
1048,81,Maua
1210,198,Mau Mau
796,4393,Maungu
1154,195,Mayanja
1249,203,Mayoni
925,34,Mazeras
1296,212,Mbale
782,27,Mbilili
1572,153,Mbilini
580,107,Mbita
558,70,Mbooni East
559,71,Mbooni West
993,71,Mbumbuni
1151,195,Mechimeru
1484,186,Medi Heal 
1599,4473,Megun
693,8,Membley
1414,132,Menyinkwa
1019,76,Merile
1028,4437,Merti
571,84,Meru Central
572,85,Meru South
1051,82,Meru Township
794,42,Mgange
599,126,Migori
978,4416,Migwani
1178,4439,Mikindani
1082,86,Mikinduri
1061,83,Mikumbune
1136,193,Milo
1199,196,Miluki
893,4394,Minijila
1338,108,Miranga
526,21,Mirangini
1180,4439,Miritini
1337,108,Mirogi
909,4408,Mishomoroni
1126,193,Misikhu
1634,4481,Mitheru
1062,83,Mitiine
1063,83,Mitunguu
938,32,Mnarani
1581,46,Mnazini
1512,4457,Mogogosiek
1410,115,Mogonchoro
1386,112,Mogonga
1496,144,Mogotio
1377,4445,Mohoroni
1608,4474,Moiben
1614,4472,MoiS Bridge
1531,161,Molo
542,41,Mombasa
1585,41,Mombasa North
1586,4468,Mombasa South
1406,115,Mosocho
565,77,Moyale
899,4396,Mpeketoni
538,37,Msabweni
915,4410,Msambweni
799,4393,Mtito
910,4409,Mtongwe
929,32,Mtwapa
686,4382,Muchatha
1292,211,Mudete
1143,194,Mufupi
775,26,Mugunda
1439,127,Muhuru Bay
1130,193,Muji
560,72,Mukaa
1107,192,Mukhweya
1164,157,Mukogodo
898,4396,Mukowe
531,28,Mukurueini
812,4391,Mukurweini
1150,194,Mukuyuni
1501,145,Mulot
1255,204,Mulwanda
1243,203,Mumias Town
971,4414,Mumoni
1211,198,Mundere
780,27,Munyu
727,4384,Muranga
740,4386,Murarandia
1456,171,Murkhan
754,13,Mururi
1101,192,Musese
1157,195,Musikoma
1273,208,Musoli
1080,87,Muthaara
648,4376,Muthaiga
1635,4481,Muthambi
760,14,Mutithi
549,57,Mutitu
550,58,Mutomo
672,1,Mutomo Gatundu
1193,195,Mutomolo
1049,81,Mutuate
949,49,Mutunduri
1090,192,Muyayi
790,4392,Mwakitau
987,64,Mwala
788,4392,Mwatate
770,26,Mweiga
1403,115,Mwembe
1172,41,Mwembe Tayari
1155,195,Mwibale
1591,4470,Mwibona
1636,4481,Mwimbi
972,4415,Mwingi
1261,205,Mwiyala
1037,79,Naari
1627,4479,Nabiswa
1133,193,Nabuyole
1486,186,Naibei
576,90,Nairobi East
577,91,Nairobi North
578,92,Nairobi West
652,4377,Nairobi West
1091,192,Nairumbi
773,26,Nairutia
1145,194,Naitiri
1533,162,Naivasha
1535,163,Nakuru
1102,192,Nalondo
1562,152,Namanga
1106,192,Namangofulo
1122,193,Nambalayi
1466,167,Nandi Hills
1188,195,Nandolia
1139,193,Nangili
1098,192,Nanilama
1162,156,Nanyuki
1549,172,Narok
1551,172,Narok Township
778,27,Narumoru
1528,159,Narumoru Town
1240,4432,Nasira
1555,85,Ndagani
721,17,Ndakaini
1147,194,Ndalu
700,10,Ndarugo
707,3,Ndenderu
581,108,Ndhiwa
1313,137,Ndigwa
748,12,Ndima
1302,136,Ndori
682,4382,Ndumberi 
710,3,Ndumbuini
1537,164,Ndundori
815,31,Ndunyu
789,4392,Ngambwa
642,4376,Ngara
1524,158,Ngarua
1622,4475,Ngenyilel
1600,4473,Ngeria
1499,141,Nginyang
1322,4447,Ngiya
977,4415,Ngomeni
819,151,Ngong
761,14,Nguka
974,4415,Nguni
1577,4466,Ngurumani
1041,79,Ngusishi
976,4415,Ngutani
1140,193,Ngwelo
1546,4465,Njambini
630,4373,Njiru
1539,165,Njoro
1086,89,Nkondi
1057,83,Nkubu
1021,4435,North Horr
591,118,North Masaba
